brand,fuel_type,model_date,vehicle_transmission,Car_name,Year,Location,mileage_from_odometer_km,vehicle_engine_cc,price_usd
Toyota,Petrol,2012.0,Manual,Aygo ,2012,Islamabad,68000.0,1000.0,5762.21
Honda,Petrol,2015.0,Automatic,City ,2015,Lahore,150000.0,1300.0,9042.23
Toyota,Petrol,2015.0,Automatic,Corolla ,2015,Rawalpindi,110000.0,1300.0,11879.01
Nissan,Petrol,2004.0,Automatic,March ,2004,Karachi,100000.0,1000.0,3723.27
Honda,Petrol,2021.0,Automatic,Civic ,2021,Islamabad,20500.0,1800.0,22250.98
Suzuki,Petrol,2008.0,Manual,Cultus ,2008,Islamabad,25025.0,1000.0,3634.62
Honda,Petrol,2018.0,Manual,City ,2018,Rawalpindi,88000.0,1300.0,11169.82
Honda,Petrol,2018.0,Automatic,Civic ,2018,Rawalpindi,70000.0,1800.0,17694.41
Honda,Petrol,2004.0,Manual,Civic ,2004,Lahore,107000.0,1500.0,4964.36
Honda,Petrol,2003.0,Manual,Civic ,2003,Rawalpindi,150000.0,1600.0,4822.52
Suzuki,Petrol,2022.0,Manual,Alto ,2022,Lahore,21000.0,660.0,7730.22
Toyota,Petrol,2010.0,Manual,Corolla ,2010,Mian,82000.0,1300.0,8687.64
Suzuki,Petrol,2018.0,Manual,R ,2018,Multan,23000.0,1000.0,7978.44
Suzuki,Petrol,2015.0,Manual,Mehran ,2015,Islamabad,65000.0,800.0,4077.87
Suzuki,Petrol,2012.0,Manual,Alto ,2012,Lahore,118000.0,1000.0,4077.87
Toyota,Hybrid,2015.0,Automatic,Aqua ,2015,Peshawar,119200.0,1500.0,13829.3
Honda,Petrol,2019.0,Automatic,City ,2019,Lahore,43000.0,1500.0,13474.7
Toyota,Petrol,2013.0,Manual,Corolla ,2013,Lahore,180000.0,1300.0,8864.93
Suzuki,Petrol,2022.0,Automatic,Alto ,2022,Lahore,20000.0,660.0,9219.53
Daihatsu,Petrol,2013.0,Automatic,Mira ,2013,Lahore,50000.0,660.0,7623.84
Toyota,Petrol,2007.0,Automatic,Vitz ,2007,Islamabad,175000.0,1000.0,5602.64
Honda,Petrol,1999.0,Manual,Civic ,1999,Lahore,220000.0,1600.0,3989.22
Toyota,Petrol,2010.0,Automatic,Prius ,2010,Dera,80000.0,1800.0,15247.69
Toyota,Petrol,2013.0,Manual,Corolla ,2013,Sargodha,126000.0,1300.0,939.68
Suzuki,Petrol,2016.0,Manual,Cultus ,2016,Lahore,71000.0,1000.0,5957.24
Toyota,Diesel,2013.0,Automatic,Hilux ,2013,Quetta,100000.0,2500.0,20566.65
Toyota,Petrol,2018.0,Automatic,Passo ,2018,Islamabad,135000.0,1000.0,13474.7
Toyota,Petrol,2021.0,Automatic,Yaris ,2021,Peshawar,33000.0,1500.0,15424.98
Toyota,Petrol,2019.0,Automatic,Corolla ,2019,Faisalabad,43950.0,1600.0,16453.32
Toyota,Petrol,2010.0,Automatic,Prado ,2010,Wah,125000.0,4000.0,60281.55
Toyota,Petrol,2014.0,Automatic,Vitz ,2014,Karachi,134000.0,1000.0,9308.18
Toyota,Petrol,2021.0,Manual,Yaris ,2021,Islamabad,19500.0,1300.0,13474.7
Toyota,Petrol,2016.0,Automatic,Corolla ,2016,Karachi,77300.0,1600.0,11347.12
Suzuki,Petrol,2017.0,Manual,Cultus ,2017,Rahim,150000.0,1000.0,5620.37
